web-scraper-order,web-scraper-start-url,product_name,product_price,product_price_sale
"1718780677-1","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Quit Work Black","Rp 250.000","Rp 79.000"
"1718780677-2","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Sashenka Olive","Rp 250.000","Rp 79.000"
"1718780677-3","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Longboard Green","Rp 250.000","Rp 79.000"
"1718780677-4","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Brax Emerald","Rp 250.000","Rp 79.000"
"1718780677-5","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Basic Navy White Unisex","Rp 250.000","Rp 79.000"
"1718780677-6","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Big Cat Maroon","Rp 250.000","Rp 79.000"
"1718780677-7","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Tina Olive","Rp 250.000","Rp 79.000"
"1718780677-8","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Ramen Street Black","Rp 250.000","Rp 79.000"
"1718780677-9","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Project Summer Black","Rp 250.000","Rp 79.000"
"1718780677-10","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Basic Maroon White Unisex","Rp 250.000","Rp 79.000"
"1718780677-11","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Summer Peace Navy","Rp 250.000","Rp 79.000"
"1718780677-12","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt The Stingray Black","Rp 250.000","Rp 79.000"
"1718780677-13","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt The Magic Trio Maroon","Rp 250.000","Rp 79.000"
"1718780677-14","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Japan Fun Ride Black","Rp 250.000","Rp 79.000"
"1718780677-15","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Vintage Gang Black","Rp 250.000","Rp 79.000"
"1718780677-16","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Yohn Olive Unisex","Rp 250.000","Rp 79.000"
"1718780677-17","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Sunray Olive Unisex","Rp 250.000","Rp 79.000"
"1718780677-18","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-shirt Marlin Fish Black","Rp 250.000","Rp 79.000"
"1718780677-19","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Twins Navy","Rp 250.000","Rp 79.000"
"1718780677-20","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Japan Lady Cream","Rp 250.000","Rp 79.000"
"1718780677-21","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Quit Work Black","Rp 250.000","Rp 79.000"
"1718780677-22","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Sashenka Olive","Rp 250.000","Rp 79.000"
"1718780677-23","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Longboard Green","Rp 250.000","Rp 79.000"
"1718780677-24","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Brax Emerald","Rp 250.000","Rp 79.000"
"1718780677-25","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Basic Navy White Unisex","Rp 250.000","Rp 79.000"
"1718780677-26","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Big Cat Maroon","Rp 250.000","Rp 79.000"
"1718780677-27","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Tina Olive","Rp 250.000","Rp 79.000"
"1718780677-28","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Ramen Street Black","Rp 250.000","Rp 79.000"
"1718780677-29","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Project Summer Black","Rp 250.000","Rp 79.000"
"1718780677-30","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Basic Maroon White Unisex","Rp 250.000","Rp 79.000"
"1718780677-31","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Summer Peace Navy","Rp 250.000","Rp 79.000"
"1718780677-32","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt The Stingray Black","Rp 250.000","Rp 79.000"
"1718780677-33","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt The Magic Trio Maroon","Rp 250.000","Rp 79.000"
"1718780677-34","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Japan Fun Ride Black","Rp 250.000","Rp 79.000"
"1718780677-35","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Vintage Gang Black","Rp 250.000","Rp 79.000"
"1718780677-36","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Yohn Olive Unisex","Rp 250.000","Rp 79.000"
"1718780677-37","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Sunray Olive Unisex","Rp 250.000","Rp 79.000"
"1718780677-38","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-shirt Marlin Fish Black","Rp 250.000","Rp 79.000"
"1718780677-39","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Twins Navy","Rp 250.000","Rp 79.000"
"1718780677-40","https://erigostore.co.id/collections/category-t-shirt-t-shirt?filter.v.availability=1&filter.v.price.gte=&filter.v.price.lte=&sort_by=best-selling","Erigo T-Shirt Japan Lady Cream","Rp 250.000","Rp 79.000"
